hogar_id,tipo_inmueble,metros_cuadrados,antiguedad_vivienda,zona_fria,calidad_aislamiento,fuente_calefaccion,fuente_agua_caliente,consumo_kwh,uso_horario_pico,horas_alto_consumo,cantidad_equipos,categoria
Hogar_0001,Departamento,1269,61,No,Muy Baja,Solar,Electricidad,364.0,Si,14,19,Moderado
Hogar_0002,Pyme,928,16,Si,Media,Electricidad,Otros,730.5,No,5,92,Ineficiente
Hogar_0003,Comercio,188,65,No,Media,Otros,Otros,299.3,Si,7,39,Moderado
Hogar_0004,Departamento,2000,5,Si,Muy Baja,Electricidad,Solar,543.4,Si,23,85,Ineficiente
Hogar_0005,Casa,1269,57,No,Muy Alta,Electricidad,Electricidad,433.9,Si,13,90,Moderado
Hogar_0006,Casa,295,68,No,Media,Solar,Electricidad,277.3,No,4,86,Eficiente
Hogar_0007,Casa,657,61,Si,Media,Electricidad,Solar,974.7,Si,16,70,Ineficiente
Hogar_0008,Pyme,931,81,No,Media,Electricidad,Electricidad,259.5,Si,21,11,Moderado
Hogar_0009,Departamento,1897,70,Si,Media,Electricidad,Otros,310.0,No,6,14,Eficiente
Hogar_0010,Comercio,1449,130,No,Baja,Solar,Electricidad,162.4,Si,8,60,Moderado
Hogar_0011,Casa,1231,9,No,Baja,Otros,Otros,823.2,Si,15,36,Moderado
Hogar_0012,Pyme,1667,97,Si,Media,Otros,Solar,587.0,Si,17,41,Moderado
Hogar_0013,Comercio,1778,88,No,Alta,Solar,Solar,613.4,No,12,2,Eficiente
Hogar_0014,Casa,230,34,Si,Muy Baja,Electricidad,Electricidad,820.7,Si,17,57,Ineficiente
Hogar_0015,Casa,607,1,Si,Media,Solar,Otros,343.6,No,9,60,Eficiente
Hogar_0016,Casa,1605,123,No,Alta,Solar,Electricidad,194.4,No,0,20,Eficiente
Hogar_0017,Casa,866,23,Si,Baja,Electricidad,Solar,199.2,No,20,22,Eficiente
Hogar_0018,Departamento,1862,73,No,Muy Baja,Electricidad,Otros,732.9,No,17,4,Moderado
Hogar_0019,Departamento,1277,21,No,Baja,Electricidad,Electricidad,614.5,No,18,56,Moderado
Hogar_0020,Casa,1745,38,Si,Media,Solar,Electricidad,207.1,No,1,93,Eficiente
Hogar_0021,Departamento,1668,19,No,Baja,Electricidad,Solar,145.9,No,3,58,Eficiente
Hogar_0022,Casa,621,40,Si,Media,Otros,Electricidad,121.6,No,10,88,Moderado
Hogar_0023,Casa,1899,147,No,Media,Electricidad,Solar,628.2,No,2,65,Moderado
Hogar_0024,Departamento,275,107,Si,Media,Electricidad,Electricidad,1.1,Si,8,88,Moderado
Hogar_0025,Departamento,900,146,Si,Baja,Electricidad,Electricidad,19.3,Si,9,58,Moderado
Hogar_0026,Comercio,1490,83,Si,Media,Solar,Solar,390.2,Si,1,30,Moderado
Hogar_0027,Casa,1582,110,No,Alta,Electricidad,Solar,691.7,No,6,76,Moderado
Hogar_0028,Departamento,221,65,No,Muy Alta,Electricidad,Electricidad,695.3,No,14,19,Moderado
Hogar_0029,Departamento,715,52,No,Alta,Electricidad,Otros,430.7,Si,18,62,Moderado
Hogar_0030,Casa,1978,33,No,Media,Electricidad,Otros,691.4,Si,9,68,Ineficiente
Hogar_0031,Departamento,1568,149,No,Media,Electricidad,Solar,521.6,Si,23,79,Moderado
Hogar_0032,Casa,1119,66,No,Baja,Otros,Electricidad,977.0,Si,19,84,Ineficiente
Hogar_0033,Casa,664,133,Si,Baja,Solar,Electricidad,163.3,No,13,44,Eficiente
Hogar_0034,Pyme,1448,26,No,Muy Baja,Solar,Solar,601.1,Si,3,84,Moderado
Hogar_0035,Pyme,697,9,No,Media,Electricidad,Solar,491.7,Si,24,61,Moderado
Hogar_0036,Comercio,1809,72,Si,Baja,Electricidad,Electricidad,195.3,Si,10,21,Moderado
Hogar_0037,Casa,1252,95,No,Baja,Electricidad,Solar,750.2,Si,2,10,Moderado
Hogar_0038,Casa,1197,47,No,Muy Alta,Solar,Electricidad,276.2,No,22,30,Eficiente
Hogar_0039,Comercio,1521,69,No,Baja,Solar,Electricidad,382.3,Si,16,24,Moderado
Hogar_0040,Departamento,1704,99,No,Baja,Electricidad,Solar,375.5,No,6,48,Moderado
Hogar_0041,Casa,969,58,Si,Muy Baja,Solar,Solar,245.0,Si,10,55,Moderado
Hogar_0042,Departamento,224,1,Si,Media,Solar,Electricidad,431.3,Si,17,52,Moderado
Hogar_0043,Casa,1966,64,Si,Media,Electricidad,Solar,473.9,No,13,38,Moderado
Hogar_0044,Pyme,1475,82,No,Media,Electricidad,Otros,744.5,No,13,67,Moderado
Hogar_0045,Casa,1715,9,Si,Media,Solar,Solar,765.3,Si,5,93,Moderado
Hogar_0046,Comercio,517,52,No,Alta,Solar,Solar,159.4,Si,8,8,Eficiente
Hogar_0047,Casa,1937,78,Si,Alta,Electricidad,Electricidad,593.2,Si,21,29,Moderado
Hogar_0048,Departamento,921,58,Si,Muy Alta,Electricidad,Electricidad,896.3,No,2,10,Moderado
Hogar_0049,Departamento,167,149,No,Alta,Solar,Electricidad,109.7,Si,16,69,Moderado
Hogar_0050,Casa,1362,47,No,Media,Electricidad,Solar,473.4,Si,11,75,Moderado
Hogar_0051,Pyme,190,148,Si,Baja,Solar,Solar,750.6,No,3,68,Moderado
Hogar_0052,Comercio,339,122,No,Muy Baja,Solar,Electricidad,611.9,Si,19,49,Moderado
Hogar_0053,Pyme,46,21,No,Muy Baja,Electricidad,Electricidad,101.5,Si,15,58,Moderado
Hogar_0054,Pyme,1131,99,Si,Media,Electricidad,Electricidad,397.2,Si,23,35,Ineficiente
Hogar_0055,Departamento,1630,97,Si,Alta,Solar,Electricidad,507.7,No,9,50,Moderado
Hogar_0056,Pyme,1180,24,No,Media,Electricidad,Otros,995.8,Si,6,40,Ineficiente
